date,country_region,confirmed
2020-03-14,Brazil,21
2020-03-15,Brazil,23
2020-03-16,Brazil,79
2020-03-17,Brazil,34
2020-03-18,Brazil,57
2020-03-19,Brazil,137
2020-03-20,Brazil,193
2020-03-21,Brazil,283
2020-03-22,Brazil,224
2020-03-23,Brazil,418
2020-03-24,Brazil,345
2020-03-25,Brazil,310
2020-03-26,Brazil,232
2020-03-27,Brazil,482
2020-03-28,Brazil,502
2020-03-29,Brazil,487
2020-03-30,Brazil,352
2020-03-31,Brazil,323
2020-04-01,Brazil,1138
2020-04-02,Brazil,1119
2020-04-03,Brazil,1074
2020-04-04,Brazil,1146
2020-04-05,Brazil,1222
2020-04-06,Brazil,852
2020-04-07,Brazil,926
2020-04-08,Brazil,1661
2020-04-09,Brazil,2210
2020-04-10,Brazil,1930
2020-04-11,Brazil,1781
2020-04-12,Brazil,1089
2020-04-13,Brazil,1442
2020-04-14,Brazil,1261
2020-04-15,Brazil,1832
2020-04-16,Brazil,3058
2020-04-17,Brazil,2105
2020-04-18,Brazil,3257
2020-04-19,Brazil,2917
2020-04-20,Brazil,2055
2020-04-21,Brazil,1927
2020-04-22,Brazil,2498
2020-04-23,Brazil,2678
2020-04-24,Brazil,3735
2020-04-25,Brazil,3503
2020-04-26,Brazil,5514
2020-04-27,Brazil,3379
2020-04-28,Brazil,4613
2020-04-29,Brazil,5385
2020-04-30,Brazil,6276
2020-05-01,Brazil,7218
2020-05-02,Brazil,6209
2020-05-03,Brazil,4970
2020-05-04,Brazil,4588
2020-05-05,Brazil,6633
2020-05-06,Brazil,6935
2020-05-07,Brazil,10503
2020-05-08,Brazil,9888
2020-05-09,Brazil,10222
2020-05-10,Brazil,10611
2020-05-11,Brazil,6760
2020-05-12,Brazil,5632
2020-05-13,Brazil,9258
2020-05-14,Brazil,11385
2020-05-15,Brazil,13944
2020-05-16,Brazil,15305
2020-05-17,Brazil,14919
2020-05-18,Brazil,7938
2020-05-19,Brazil,13140
2020-05-20,Brazil,17408
2020-05-21,Brazil,19951
2020-05-22,Brazil,18508
2020-05-23,Brazil,20803
2020-05-24,Brazil,16508
2020-05-25,Brazil,15813
2020-05-26,Brazil,11687
2020-05-27,Brazil,16324
2020-05-28,Brazil,20599
2020-05-29,Brazil,26417
2020-05-30,Brazil,26928
2020-05-31,Brazil,33274
2020-06-01,Brazil,16409
2020-06-02,Brazil,11598
2020-06-03,Brazil,28936
2020-06-04,Brazil,28633
2020-06-05,Brazil,30916
2020-06-06,Brazil,30830
2020-06-07,Brazil,27075
2020-06-08,Brazil,18921
2020-06-09,Brazil,15654
2020-06-10,Brazil,32091
2020-06-11,Brazil,32913
2020-06-12,Brazil,30412
2020-06-13,Brazil,25982
2020-06-14,Brazil,21704
2020-06-15,Brazil,17110
2020-06-16,Brazil,20647
2020-06-17,Brazil,34918
2020-06-18,Brazil,32188
2020-06-19,Brazil,22765
2020-06-20,Brazil,54771
2020-06-21,Brazil,34666
2020-06-22,Brazil,17459
2020-06-23,Brazil,21432
2020-06-24,Brazil,39436
2020-06-25,Brazil,42725
2020-06-26,Brazil,39483
2020-06-27,Brazil,46860
2020-06-28,Brazil,38693
2020-06-29,Brazil,30476
2020-06-30,Brazil,24052
2020-07-01,Brazil,33846
2020-07-02,Brazil,46712
2020-07-03,Brazil,48105
2020-07-04,Brazil,42223
2020-07-05,Brazil,37923
2020-07-06,Brazil,26051
2020-07-07,Brazil,20229
2020-07-08,Brazil,45305
2020-07-09,Brazil,44571
2020-07-10,Brazil,42619
2020-07-11,Brazil,45048
2020-07-12,Brazil,39023
2020-07-13,Brazil,24831
2020-07-14,Brazil,20286
2020-07-15,Brazil,41857
2020-07-16,Brazil,39924
2020-07-17,Brazil,45403
2020-07-18,Brazil,34177
2020-07-19,Brazil,28532
2020-07-20,Brazil,23529
2020-07-21,Brazil,20257
2020-07-22,Brazil,41008
2020-07-23,Brazil,67860
2020-07-24,Brazil,59961
2020-07-25,Brazil,55891
2020-07-26,Brazil,51147
2020-07-27,Brazil,24578
2020-07-28,Brazil,23284
2020-07-29,Brazil,40816
2020-07-30,Brazil,69074
2020-07-31,Brazil,57837
2020-08-01,Brazil,52383
2020-08-02,Brazil,45392
2020-08-03,Brazil,25800
2020-08-04,Brazil,16641
2020-08-05,Brazil,51603
2020-08-06,Brazil,57152
2020-08-07,Brazil,53139
2020-08-08,Brazil,50230
2020-08-09,Brazil,49970
2020-08-10,Brazil,23010
2020-08-11,Brazil,22048
2020-08-12,Brazil,52160
2020-08-13,Brazil,55155
2020-08-14,Brazil,60091
2020-08-15,Brazil,50644
2020-08-16,Brazil,41576
2020-08-17,Brazil,23101
2020-08-18,Brazil,19373
2020-08-19,Brazil,47784
2020-08-20,Brazil,49298
2020-08-21,Brazil,45323
2020-08-22,Brazil,30355
2020-08-23,Brazil,50032
2020-08-24,Brazil,23421
2020-08-25,Brazil,17078
2020-08-26,Brazil,47134
2020-08-27,Brazil,47161
2020-08-28,Brazil,44235
2020-08-29,Brazil,43412
2020-08-30,Brazil,41350
2020-08-31,Brazil,16158
2020-09-01,Brazil,45961
2020-09-02,Brazil,42659
2020-09-03,Brazil,46934
2020-09-04,Brazil,43773
2020-09-05,Brazil,51194
2020-09-06,Brazil,30168
2020-09-07,Brazil,14521
2020-09-08,Brazil,10273
2020-09-09,Brazil,14279
2020-09-10,Brazil,35816
2020-09-11,Brazil,40557
2020-09-12,Brazil,43718
2020-09-13,Brazil,33523
2020-09-14,Brazil,14768
2020-09-15,Brazil,15155
2020-09-16,Brazil,36653
2020-09-17,Brazil,36820
2020-09-18,Brazil,36303
2020-09-19,Brazil,39797
2020-09-20,Brazil,33057
2020-09-21,Brazil,16389
2020-09-22,Brazil,13439
2020-09-23,Brazil,33536
2020-09-24,Brazil,33281
2020-09-25,Brazil,32817
2020-09-26,Brazil,31911
2020-09-27,Brazil,28378
2020-09-28,Brazil,14318
2020-09-29,Brazil,13155
2020-09-30,Brazil,32058
2020-10-01,Brazil,33413
2020-10-02,Brazil,36157
2020-10-03,Brazil,33431
2020-10-04,Brazil,26310
2020-10-05,Brazil,8456
2020-10-06,Brazil,11946
2020-10-07,Brazil,41906
2020-10-08,Brazil,31553
2020-10-09,Brazil,27750
2020-10-10,Brazil,27444
2020-10-11,Brazil,26749
2020-10-12,Brazil,12345
2020-10-13,Brazil,8426
2020-10-14,Brazil,10220
2020-10-15,Brazil,27235
2020-10-16,Brazil,28523
2020-10-17,Brazil,30914
2020-10-18,Brazil,24062
2020-10-19,Brazil,10982
2020-10-20,Brazil,15383
2020-10-21,Brazil,23227
2020-10-22,Brazil,24818
2020-10-23,Brazil,24858
2020-10-24,Brazil,30026
2020-10-25,Brazil,26979
2020-10-26,Brazil,13493
2020-10-27,Brazil,15726
2020-10-28,Brazil,29787
2020-10-29,Brazil,28629
2020-10-30,Brazil,26106
2020-10-31,Brazil,22282
2020-11-01,Brazil,18947
2020-11-02,Brazil,10100
2020-11-03,Brazil,8501
2020-11-04,Brazil,11843
2020-11-05,Brazil,23976
2020-11-06,Brazil,22294
2020-11-07,Brazil,21428
2020-11-08,Brazil,19814
2020-11-09,Brazil,10554
2020-11-10,Brazil,10917
2020-11-11,Brazil,25012
2020-11-12,Brazil,48331
2020-11-13,Brazil,33207
2020-11-14,Brazil,29070
2020-11-15,Brazil,38307
2020-11-16,Brazil,14134
2020-11-17,Brazil,13371
2020-11-18,Brazil,35294
2020-11-19,Brazil,34091
2020-11-20,Brazil,35918
2020-11-21,Brazil,38397
2020-11-22,Brazil,32622
2020-11-23,Brazil,18615
2020-11-24,Brazil,16207
2020-11-25,Brazil,31100
2020-11-26,Brazil,47898
2020-11-27,Brazil,37614
2020-11-28,Brazil,34130
2020-11-29,Brazil,51922
2020-11-30,Brazil,24468
2020-12-01,Brazil,21138
2020-12-02,Brazil,50909
2020-12-03,Brazil,49863
2020-12-04,Brazil,50434
2020-12-05,Brazil,46884
2020-12-06,Brazil,43209
2020-12-07,Brazil,26363
2020-12-08,Brazil,20371
2020-12-09,Brazil,51088
2020-12-10,Brazil,53453
2020-12-11,Brazil,53347
2020-12-12,Brazil,54428
2020-12-13,Brazil,43900
2020-12-14,Brazil,21825
